H2S(WE),H2S(AE),SO2(WE),SO2(AE),CO(WE),CO(AE),VOC(WE),VOC(AE),NH3(WE),NH3(AE),MICS6814(CO),MICS6814(NH3),MICS6814(NO2),SEMEATECH(NH3),SEMEATECH(CH3SH),Class
344.802,441.564,372.059,791.817,960.811,140.374,479.632,45.439,10.098,252.438,2901.762,2886.835,3224.18,1,0,Compostagem
367.97,449.741,363.882,760.472,934.917,113.117,504.876,45.439,3983.469,282.73,2919.674,2877.879,3221.194,1,0,Compostagem
389.776,434.75,333.899,734.578,909.023,83.134,499.827,45.439,2953.522,287.779,2922.659,2874.894,3221.194,4,0,Compostagem
343.439,429.299,344.802,714.135,898.12,62.691,489.729,45.439,1539.871,287.779,2925.645,2871.908,3221.194,4,0,Compostagem
384.324,408.856,337.987,688.241,872.226,57.24,484.681,45.439,1151.116,287.779,2925.645,2868.923,3218.209,107,0,Compostagem
389.776,407.493,370.696,689.604,889.943,51.788,479.632,45.439,969.361,287.779,2922.659,2868.923,3218.209,212,0,Compostagem
388.413,387.05,347.527,677.338,846.332,38.16,474.583,45.439,858.289,287.779,2922.659,2868.923,3218.209,314,0,Compostagem
373.422,377.51,359.793,675.975,854.509,40.886,469.534,45.439,782.557,287.779,2922.659,2865.938,3221.194,394,0,Compostagem
380.236,363.882,370.696,682.789,868.137,39.523,474.583,45.439,752.265,287.779,2919.674,2862.952,3218.209,493,0,Compostagem
372.059,377.51,348.89,673.249,857.234,34.071,469.534,45.439,711.875,287.779,2922.659,2862.952,3218.209,591,0,Compostagem
365.245,361.156,320.27,682.789,831.34,24.531,469.534,45.439,686.631,287.779,2919.674,2859.967,3218.209,611,0,Compostagem
380.236,369.333,362.519,684.152,865.411,28.62,469.534,45.439,671.485,287.779,2919.674,2856.981,3218.209,611,0,Compostagem
374.785,350.253,328.448,681.426,832.703,24.531,469.534,45.439,651.29,287.779,2919.674,2853.996,3218.209,611,0,Compostagem
369.333,352.979,365.245,680.064,858.597,31.346,464.486,45.439,641.192,287.779,2916.688,2853.996,3218.209,603,0,Compostagem
377.51,354.342,331.173,680.064,839.517,21.806,469.534,45.439,626.046,287.779,2916.688,2851.011,3218.209,595,0,Compostagem
362.519,348.89,343.439,667.798,854.509,20.443,464.486,45.439,620.997,287.779,2919.674,2851.011,3218.209,589,0,Compostagem
374.785,340.713,342.076,680.064,819.075,27.257,464.486,45.439,610.9,287.779,2916.688,2848.025,3218.209,585,0,Compostagem
366.607,339.35,367.97,669.161,855.872,24.531,469.534,45.439,605.851,287.779,2916.688,2848.025,3218.209,583,0,Compostagem
366.607,344.802,373.422,674.612,858.597,25.894,464.486,45.439,600.802,287.779,2916.688,2845.04,3218.209,580,0,Compostagem
363.882,348.89,355.705,674.612,859.96,14.991,469.534,45.439,595.753,287.779,2916.688,2845.04,3218.209,578,0,Compostagem
366.607,347.527,357.067,675.975,855.872,20.443,469.534,45.439,590.705,287.779,2916.688,2842.055,3218.209,575,0,Compostagem
365.245,331.173,336.625,673.249,840.88,28.62,469.534,45.439,585.656,287.779,2916.688,2839.069,3218.209,573,0,Compostagem
361.156,337.987,348.89,684.152,858.597,21.806,464.486,45.439,580.607,287.779,2916.688,2839.069,3218.209,572,0,Compostagem
362.519,343.439,331.173,671.886,828.614,20.443,464.486,45.439,575.558,287.779,2913.703,2839.069,3218.209,570,0,Compostagem
374.785,336.625,357.067,669.161,823.163,25.894,464.486,45.439,575.558,287.779,2913.703,2836.084,3218.209,569,0,Compostagem
366.607,329.81,335.262,671.886,819.075,23.168,464.486,50.488,570.509,287.779,2913.703,2836.084,3218.209,567,0,Compostagem
